anio_enfr,prov_id,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,region,dm_prev_cv_cat
2005,02,20 a 29,Mujer,7193,4517.7,0.63,0.03,0.02,0.62,,Muy alta
2005,02,20 a 29,Varón,6343,3494.72,0.55,0.02,0.01,0.55,,Muy alta
2005,02,30 a 44,Mujer,8244,4595.68,0.56,0.02,0.01,0.55,,Muy alta
2005,02,30 a 44,Varón,9083,3942.18,0.43,0.03,0.01,0.43,,Muy alta
2005,02,45 a 59,Mujer,14629,4652.99,0.32,0.05,0.01,0.31,,Muy alta
2005,02,45 a 59,Varón,26797,7669.55,0.29,0.13,0.03,0.27,,Alta
2005,02,60 a 74,Mujer,40614,11233.01,0.28,0.19,0.05,0.24,,Alta
2005,02,60 a 74,Varón,41244,9502.24,0.23,0.2,0.04,0.21,,Alta
2005,02,75+,Mujer,16494,4735.82,0.29,0.13,0.03,0.27,,Alta
2005,02,75+,Varón,19159,6114.53,0.32,0.24,0.07,0.27,,Alta
2005,06,20 a 29,Mujer,22301,8275.23,0.37,0.02,0.01,0.37,,Muy alta
2005,06,20 a 29,Varón,20346,12712.52,0.62,0.02,0.01,0.62,,Muy alta
2005,06,30 a 44,Mujer,101394,21429.5,0.21,0.06,0.01,0.21,,Alta
2005,06,30 a 44,Varón,49048,13505.88,0.28,0.04,0.01,0.27,,Alta
2005,06,45 a 59,Mujer,120718,24656.69,0.2,0.11,0.02,0.19,,Moderada
2005,06,45 a 59,Varón,110814,26683.72,0.24,0.1,0.02,0.23,,Alta
2005,06,60 a 74,Mujer,150384,27399.29,0.18,0.19,0.03,0.16,,Moderada
2005,06,60 a 74,Varón,108933,21801.5,0.2,0.16,0.03,0.18,,Moderada
2005,06,75+,Mujer,66886,16675.92,0.25,0.18,0.04,0.22,,Alta
2005,06,75+,Varón,78511,22192.49,0.28,0.3,0.07,0.23,,Alta
2005,10,20 a 29,Mujer,835,484.86,0.58,0.04,0.02,0.56,,Muy alta
2005,10,20 a 29,Varón,587,277.83,0.47,0.03,0.01,0.47,,Muy alta
2005,10,30 a 44,Mujer,2119,516.79,0.24,0.08,0.02,0.23,,Alta
2005,10,30 a 44,Varón,1019,333.61,0.33,0.04,0.01,0.32,,Muy alta
2005,10,45 a 59,Mujer,2383,547.86,0.23,0.14,0.03,0.22,,Alta
2005,10,45 a 59,Varón,2021,594.56,0.29,0.13,0.04,0.28,,Alta
2005,10,60 a 74,Mujer,2946,645.14,0.22,0.31,0.06,0.19,,Moderada
2005,10,60 a 74,Varón,1133,375.42,0.33,0.15,0.05,0.31,,Muy alta
2005,10,75+,Mujer,341,170.22,0.5,0.11,0.05,0.48,,Muy alta
2005,10,75+,Varón,241,118.96,0.49,0.11,0.05,0.49,,Muy alta
2005,14,20 a 29,Mujer,11863,5457.45,0.46,0.05,0.02,0.45,,Muy alta
