anio,prov_id,prov_nombre,grupo_edad_amp,sexo,proy_pob,pob_est
2005,02,CABA,20 a 29,Mujer,243701,239187
2005,02,CABA,20 a 29,Varón,228321,228216
2005,02,CABA,30 a 44,Mujer,322398,331081
2005,02,CABA,30 a 44,Varón,304308,308351
2005,02,CABA,45 a 59,Mujer,284541,272128
2005,02,CABA,45 a 59,Varón,239209,225618
2005,02,CABA,60 a 74,Mujer,245321,224584
2005,02,CABA,60 a 74,Varón,166760,159443
2005,02,CABA,75+,Mujer,171783,158352
2005,02,CABA,75+,Varón,77542,75816
2005,06,Buenos Aires,20 a 29,Mujer,1212729,1241994
2005,06,Buenos Aires,20 a 29,Varón,1241307,1248067
2005,06,Buenos Aires,30 a 44,Mujer,1453405,1625905
2005,06,Buenos Aires,30 a 44,Varón,1446752,1586547
2005,06,Buenos Aires,45 a 59,Mujer,1201579,1261768
2005,06,Buenos Aires,45 a 59,Varón,1091653,1177109
2005,06,Buenos Aires,60 a 74,Mujer,820937,872592
2005,06,Buenos Aires,60 a 74,Varón,669947,726082
2005,06,Buenos Aires,75+,Mujer,415232,472966
2005,06,Buenos Aires,75+,Varón,233861,263959
2005,10,Catamarca,20 a 29,Mujer,30248,29528
2005,10,Catamarca,20 a 29,Varón,31390,30082
2005,10,Catamarca,30 a 44,Mujer,32666,37493
2005,10,Catamarca,30 a 44,Varón,33945,37460
2005,10,Catamarca,45 a 59,Mujer,23921,26053
2005,10,Catamarca,45 a 59,Varón,24404,26170
2005,10,Catamarca,60 a 74,Mujer,14045,15705
2005,10,Catamarca,60 a 74,Varón,12133,14316
2005,10,Catamarca,75+,Mujer,6272,7750
2005,10,Catamarca,75+,Varón,4053,4780
2005,14,Córdoba,20 a 29,Mujer,282514,272518
2005,14,Córdoba,20 a 29,Varón,287524,272371
2005,14,Córdoba,30 a 44,Mujer,307056,340794
2005,14,Córdoba,30 a 44,Varón,307920,332771
2005,14,Córdoba,45 a 59,Mujer,262727,269454
2005,14,Córdoba,45 a 59,Varón,242027,250528
2005,14,Córdoba,60 a 74,Mujer,189151,196286
2005,14,Córdoba,60 a 74,Varón,154116,162090
2005,14,Córdoba,75+,Mujer,95385,105057
2005,14,Córdoba,75+,Varón,52710,58768
2005,18,Corrientes,20 a 29,Mujer,83385,83699
2005,18,Corrientes,20 a 29,Varón,84214,80733
2005,18,Corrientes,30 a 44,Mujer,87070,96921
2005,18,Corrientes,30 a 44,Varón,85136,90917
2005,18,Corrientes,45 a 59,Mujer,65869,74269
2005,18,Corrientes,45 a 59,Varón,65430,71956
2005,18,Corrientes,60 a 74,Mujer,39138,43634
2005,18,Corrientes,60 a 74,Varón,33183,39323
2005,18,Corrientes,75+,Mujer,16385,19865
2005,18,Corrientes,75+,Varón,10549,12500
2005,22,Chaco,20 a 29,Mujer,86664,89802
2005,22,Chaco,20 a 29,Varón,88246,86810
2005,22,Chaco,30 a 44,Mujer,89793,102157
2005,22,Chaco,30 a 44,Varón,88728,97202
2005,22,Chaco,45 a 59,Mujer,65910,74621
2005,22,Chaco,45 a 59,Varón,67381,73148
2005,22,Chaco,60 a 74,Mujer,37809,41266
2005,22,Chaco,60 a 74,Varón,32919,37200
