anio,prov_id,prov_nombre,grupo_edad_10,sexo,proy_pob,pob_est
2005,02,CABA,20 a 29,Mujer,243701,239187
2005,02,CABA,20 a 29,Varón,228321,228216
2005,02,CABA,30 a 39,Mujer,224243,236079
2005,02,CABA,30 a 39,Varón,213307,222466
2005,02,CABA,40 a 49,Mujer,194853,185857
2005,02,CABA,40 a 49,Varón,176243,164611
2005,02,CABA,50 a 59,Mujer,187843,181273
2005,02,CABA,50 a 59,Varón,153967,146892
2005,02,CABA,60 a 69,Mujer,169062,159298
2005,02,CABA,60 a 69,Varón,118792,116896
2005,02,CABA,70 a 79,Mujer,147823,121928
2005,02,CABA,70 a 79,Varón,86161,75226
2005,02,CABA,80+,Mujer,100219,101710
2005,02,CABA,80+,Varón,39349,43137
2005,06,Buenos Aires,20 a 29,Mujer,1212729,1241994
2005,06,Buenos Aires,20 a 29,Varón,1241307,1248067
2005,06,Buenos Aires,30 a 39,Mujer,1010635,1148888
2005,06,Buenos Aires,30 a 39,Varón,1017305,1126881
2005,06,Buenos Aires,40 a 49,Mujer,873313,927339
2005,06,Buenos Aires,40 a 49,Varón,826228,887183
2005,06,Buenos Aires,50 a 59,Mujer,771036,811446
2005,06,Buenos Aires,50 a 59,Varón,694872,749592
2005,06,Buenos Aires,60 a 69,Mujer,577304,635955
2005,06,Buenos Aires,60 a 69,Varón,493284,547287
2005,06,Buenos Aires,70 a 79,Mujer,447520,436264
2005,06,Buenos Aires,70 a 79,Varón,306565,311545
2005,06,Buenos Aires,80+,Mujer,211345,273339
2005,06,Buenos Aires,80+,Varón,103959,131209
2005,10,Catamarca,20 a 29,Mujer,30248,29528
2005,10,Catamarca,20 a 29,Varón,31390,30082
2005,10,Catamarca,30 a 39,Mujer,23062,27059
2005,10,Catamarca,30 a 39,Varón,23915,26979
2005,10,Catamarca,40 a 49,Mujer,18606,19839
2005,10,Catamarca,40 a 49,Varón,19310,19917
2005,10,Catamarca,50 a 59,Mujer,14919,16648
2005,10,Catamarca,50 a 59,Varón,15124,16734
2005,10,Catamarca,60 a 69,Mujer,10039,11676
2005,10,Catamarca,60 a 69,Varón,8974,10994
2005,10,Catamarca,70 a 79,Mujer,7177,7390
2005,10,Catamarca,70 a 79,Varón,5396,5693
2005,10,Catamarca,80+,Mujer,3101,4389
2005,10,Catamarca,80+,Varón,1816,2409
2005,14,Córdoba,20 a 29,Mujer,282514,272518
2005,14,Córdoba,20 a 29,Varón,287524,272371
2005,14,Córdoba,30 a 39,Mujer,210583,241886
2005,14,Córdoba,30 a 39,Varón,213479,238386
2005,14,Córdoba,40 a 49,Mujer,189098,194566
2005,14,Córdoba,40 a 49,Varón,180777,185136
2005,14,Córdoba,50 a 59,Mujer,170102,173796
2005,14,Córdoba,50 a 59,Varón,155691,159777
2005,14,Córdoba,60 a 69,Mujer,133541,142743
2005,14,Córdoba,60 a 69,Varón,113005,121542
2005,14,Córdoba,70 a 79,Mujer,101148,97928
2005,14,Córdoba,70 a 79,Varón,70342,70161
2005,14,Córdoba,80+,Mujer,49847,60672
2005,14,Córdoba,80+,Varón,23479,29155
2005,18,Corrientes,20 a 29,Mujer,83385,83699
2005,18,Corrientes,20 a 29,Varón,84214,80733
