anio,prov_id,prov_nombre,grupo_edad_5,sexo,proy_pob,pob_est
2005,02,CABA,20 a 24,Varón,106477,111726
2005,02,CABA,20 a 24,Mujer,112614,116572
2005,02,CABA,25 a 29,Varón,121844,116490
2005,02,CABA,25 a 29,Mujer,131087,122615
2005,02,CABA,30 a 34,Varón,113159,117011
2005,02,CABA,30 a 34,Mujer,120458,123148
2005,02,CABA,35 a 39,Varón,100148,105455
2005,02,CABA,35 a 39,Mujer,103785,112931
2005,02,CABA,40 a 44,Varón,91001,85885
2005,02,CABA,40 a 44,Mujer,98155,95002
2005,02,CABA,45 a 49,Varón,85242,78726
2005,02,CABA,45 a 49,Mujer,96698,90855
2005,02,CABA,50 a 54,Varón,80672,76659
2005,02,CABA,50 a 54,Mujer,95391,92557
2005,02,CABA,55 a 59,Varón,73295,70233
2005,02,CABA,55 a 59,Mujer,92452,88716
2005,02,CABA,60 a 64,Varón,64545,63364
2005,02,CABA,60 a 64,Mujer,88007,84016
2005,02,CABA,65 a 69,Varón,54247,53532
2005,02,CABA,65 a 69,Mujer,81055,75282
2005,02,CABA,70 a 74,Varón,47968,42547
2005,02,CABA,70 a 74,Mujer,76259,65286
2005,02,CABA,75 a 79,Varón,38193,32679
2005,02,CABA,75 a 79,Mujer,71564,56642
2005,02,CABA,80+,Varón,39349,43137
2005,02,CABA,80+,Mujer,100219,101710
2005,06,Buenos Aires,20 a 24,Varón,601552,643442
2005,06,Buenos Aires,20 a 24,Mujer,587106,637039
2005,06,Buenos Aires,25 a 29,Varón,639755,604625
2005,06,Buenos Aires,25 a 29,Mujer,625623,604955
2005,06,Buenos Aires,30 a 34,Varón,545347,598679
2005,06,Buenos Aires,30 a 34,Mujer,536850,607257
2005,06,Buenos Aires,35 a 39,Varón,471958,528202
2005,06,Buenos Aires,35 a 39,Mujer,473785,541631
2005,06,Buenos Aires,40 a 44,Varón,429447,459666
2005,06,Buenos Aires,40 a 44,Mujer,442770,477017
2005,06,Buenos Aires,45 a 49,Varón,396781,427517
2005,06,Buenos Aires,45 a 49,Mujer,430543,450322
2005,06,Buenos Aires,50 a 54,Varón,368311,394748
2005,06,Buenos Aires,50 a 54,Mujer,406716,421117
2005,06,Buenos Aires,55 a 59,Varón,326561,354844
2005,06,Buenos Aires,55 a 59,Mujer,364320,390329
2005,06,Buenos Aires,60 a 64,Varón,275003,308412
2005,06,Buenos Aires,60 a 64,Mujer,309712,349449
2005,06,Buenos Aires,65 a 69,Varón,218281,238875
2005,06,Buenos Aires,65 a 69,Mujer,267592,286506
2005,06,Buenos Aires,70 a 74,Varón,176663,178795
2005,06,Buenos Aires,70 a 74,Mujer,243633,236637
2005,06,Buenos Aires,75 a 79,Varón,129902,132750
2005,06,Buenos Aires,75 a 79,Mujer,203887,199627
2005,06,Buenos Aires,80+,Varón,103959,131209
2005,06,Buenos Aires,80+,Mujer,211345,273339
2005,10,Catamarca,20 a 24,Varón,15970,15603
2005,10,Catamarca,20 a 24,Mujer,15403,15210
2005,10,Catamarca,25 a 29,Varón,15420,14479
2005,10,Catamarca,25 a 29,Mujer,14845,14318
2005,10,Catamarca,30 a 34,Varón,12931,14522
2005,10,Catamarca,30 a 34,Mujer,12456,14626
2005,10,Catamarca,35 a 39,Varón,10984,12457
2005,10,Catamarca,35 a 39,Mujer,10606,12433
2005,10,Catamarca,40 a 44,Varón,10030,10481
2005,10,Catamarca,40 a 44,Mujer,9604,10434
2005,10,Catamarca,45 a 49,Varón,9280,9436
2005,10,Catamarca,45 a 49,Mujer,9002,9405
2005,10,Catamarca,50 a 54,Varón,8353,8823
2005,10,Catamarca,50 a 54,Mujer,8225,8752
2005,10,Catamarca,55 a 59,Varón,6771,7911
2005,10,Catamarca,55 a 59,Mujer,6694,7896
2005,10,Catamarca,60 a 64,Varón,5010,6323
2005,10,Catamarca,60 a 64,Mujer,5420,6511
2005,10,Catamarca,65 a 69,Varón,3964,4671
2005,10,Catamarca,65 a 69,Mujer,4619,5165
2005,10,Catamarca,70 a 74,Varón,3159,3322
2005,10,Catamarca,70 a 74,Mujer,4006,4029
2005,10,Catamarca,75 a 79,Varón,2237,2371
2005,10,Catamarca,75 a 79,Mujer,3171,3361
2005,10,Catamarca,80+,Varón,1816,2409
2005,10,Catamarca,80+,Mujer,3101,4389
2005,14,Córdoba,20 a 24,Varón,140453,139319
2005,14,Córdoba,20 a 24,Mujer,137437,139053
2005,14,Córdoba,25 a 29,Varón,147071,133052
2005,14,Córdoba,25 a 29,Mujer,145077,133465
2005,14,Córdoba,30 a 34,Varón,114674,128954
2005,14,Córdoba,30 a 34,Mujer,112298,129784
2005,14,Córdoba,35 a 39,Varón,98805,109432
2005,14,Córdoba,35 a 39,Mujer,98285,112102
2005,14,Córdoba,40 a 44,Varón,94441,94385
2005,14,Córdoba,40 a 44,Mujer,96473,98908
2005,14,Córdoba,45 a 49,Varón,86336,90751
2005,14,Córdoba,45 a 49,Mujer,92625,95658
2005,14,Córdoba,50 a 54,Varón,82182,83303
2005,14,Córdoba,50 a 54,Mujer,88570,89379
2005,14,Córdoba,55 a 59,Varón,73509,76474
2005,14,Córdoba,55 a 59,Mujer,81532,84417
2005,14,Córdoba,60 a 64,Varón,61945,67874
2005,14,Córdoba,60 a 64,Mujer,70968,77783
2005,14,Córdoba,65 a 69,Varón,51060,53668
2005,14,Córdoba,65 a 69,Mujer,62573,64960
2005,14,Córdoba,70 a 74,Varón,41111,40548
2005,14,Córdoba,70 a 74,Mujer,55610,53543
2005,14,Córdoba,75 a 79,Varón,29231,29613
2005,14,Córdoba,75 a 79,Mujer,45538,44385
2005,14,Córdoba,80+,Varón,23479,29155
2005,14,Córdoba,80+,Mujer,49847,60672
2005,18,Corrientes,20 a 24,Varón,44927,43377
2005,18,Corrientes,20 a 24,Mujer,43183,44791
2005,18,Corrientes,25 a 29,Varón,39287,37356
2005,18,Corrientes,25 a 29,Mujer,40202,38908
2005,18,Corrientes,30 a 34,Varón,30249,34492
2005,18,Corrientes,30 a 34,Mujer,31070,36594
2005,18,Corrientes,35 a 39,Varón,27499,29613
2005,18,Corrientes,35 a 39,Mujer,28084,31806
2005,18,Corrientes,40 a 44,Varón,27388,26812
2005,18,Corrientes,40 a 44,Mujer,27916,28521
2005,18,Corrientes,45 a 49,Varón,24543,26148
2005,18,Corrientes,45 a 49,Mujer,25475,27398
2005,18,Corrientes,50 a 54,Varón,22698,24118
2005,18,Corrientes,50 a 54,Mujer,22256,25011
2005,18,Corrientes,55 a 59,Varón,18189,21690
2005,18,Corrientes,55 a 59,Mujer,18138,21860
2005,18,Corrientes,60 a 64,Varón,13892,17316
2005,18,Corrientes,60 a 64,Mujer,15062,17803
2005,18,Corrientes,65 a 69,Varón,10975,12833
2005,18,Corrientes,65 a 69,Mujer,13321,14259
2005,18,Corrientes,70 a 74,Varón,8316,9174
2005,18,Corrientes,70 a 74,Mujer,10755,11572
2005,18,Corrientes,75 a 79,Varón,5705,6299
2005,18,Corrientes,75 a 79,Mujer,7879,8936
2005,18,Corrientes,80+,Varón,4844,6201
2005,18,Corrientes,80+,Mujer,8506,10929
2005,22,Chaco,20 a 24,Varón,47497,46125
2005,22,Chaco,20 a 24,Mujer,46146,47229
2005,22,Chaco,25 a 29,Varón,40749,40685
2005,22,Chaco,25 a 29,Mujer,40518,42573
2005,22,Chaco,30 a 34,Varón,31485,37852
2005,22,Chaco,30 a 34,Mujer,32118,39599
2005,22,Chaco,35 a 39,Varón,28608,31520
2005,22,Chaco,35 a 39,Mujer,29047,33260
2005,22,Chaco,40 a 44,Varón,28635,27830
2005,22,Chaco,40 a 44,Mujer,28628,29298
2005,22,Chaco,45 a 49,Varón,26117,26755
2005,22,Chaco,45 a 49,Mujer,26290,27726
2005,22,Chaco,50 a 54,Varón,23219,24995
2005,22,Chaco,50 a 54,Mujer,22367,25393
2005,22,Chaco,55 a 59,Varón,18045,21398
2005,22,Chaco,55 a 59,Mujer,17253,21502
2005,22,Chaco,60 a 64,Varón,13622,16294
2005,22,Chaco,60 a 64,Mujer,14455,16768
2005,22,Chaco,65 a 69,Varón,11035,12069
2005,22,Chaco,65 a 69,Mujer,12946,13429
2005,22,Chaco,70 a 74,Varón,8262,8837
2005,22,Chaco,70 a 74,Mujer,10408,11069
2005,22,Chaco,75 a 79,Varón,5415,6064
2005,22,Chaco,75 a 79,Mujer,7340,8279
2005,22,Chaco,80+,Varón,3833,5387
2005,22,Chaco,80+,Mujer,5982,9522
2005,26,Chubut,20 a 24,Varón,19683,21591
2005,26,Chubut,20 a 24,Mujer,18783,21062
2005,26,Chubut,25 a 29,Varón,18624,22019
2005,26,Chubut,25 a 29,Mujer,17954,21327
2005,26,Chubut,30 a 34,Varón,16395,21926
2005,26,Chubut,30 a 34,Mujer,16121,21540
2005,26,Chubut,35 a 39,Varón,14824,18341
2005,26,Chubut,35 a 39,Mujer,14623,18300
2005,26,Chubut,40 a 44,Varón,14372,15345
2005,26,Chubut,40 a 44,Mujer,14022,15462
2005,26,Chubut,45 a 49,Varón,12787,14327
2005,26,Chubut,45 a 49,Mujer,12655,14310
2005,26,Chubut,50 a 54,Varón,11213,12815
2005,26,Chubut,50 a 54,Mujer,11251,12834
2005,26,Chubut,55 a 59,Varón,8989,10849
2005,26,Chubut,55 a 59,Mujer,8904,11048
2005,26,Chubut,60 a 64,Varón,7055,8557
2005,26,Chubut,60 a 64,Mujer,7170,8891
2005,26,Chubut,65 a 69,Varón,5609,6261
2005,26,Chubut,65 a 69,Mujer,5999,6935
2005,26,Chubut,70 a 74,Varón,3854,4396
2005,26,Chubut,70 a 74,Mujer,4670,5367
2005,26,Chubut,75 a 79,Varón,2590,2975
2005,26,Chubut,75 a 79,Mujer,3445,4083
2005,26,Chubut,80+,Varón,1902,2895
2005,26,Chubut,80+,Mujer,3315,5019
2005,30,Entre Ríos,20 a 24,Varón,51488,50176
2005,30,Entre Ríos,20 a 24,Mujer,50012,49772
2005,30,Entre Ríos,25 a 29,Varón,47989,46806
2005,30,Entre Ríos,25 a 29,Mujer,46790,47137
2005,30,Entre Ríos,30 a 34,Varón,40923,45663
2005,30,Entre Ríos,30 a 34,Mujer,39963,46511
2005,30,Entre Ríos,35 a 39,Varón,37014,40292
2005,30,Entre Ríos,35 a 39,Mujer,36530,41003
2005,30,Entre Ríos,40 a 44,Varón,36044,35416
2005,30,Entre Ríos,40 a 44,Mujer,35832,36228
